"Area","MTU","Biomass  - Actual Aggregated [MW]","Biomass  - Actual Consumption [MW]","Energy storage - Actual Aggregated [MW]","Energy storage - Actual Consumption [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Consumption [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Consumption [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Consumption [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Consumption [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil  - Actual Consumption [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Consumption [MW]","Fossil Peat  - Actual Aggregated [MW]","Fossil Peat  - Actual Consumption [MW]","Geothermal  - Actual Aggregated [MW]","Geothermal  - Actual Consumption [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Run-of-river and poundage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Consumption [MW]","Marine  - Actual Aggregated [MW]","Marine  - Actual Consumption [MW]","Nuclear  - Actual Aggregated [MW]","Nuclear  - Actual Consumption [MW]","Other  - Actual Aggregated [MW]","Other  - Actual Consumption [MW]","Other renewable  - Actual Aggregated [MW]","Other renewable  - Actual Consumption [MW]","Solar  - Actual Aggregated [MW]","Solar  - Actual Consumption [MW]","Waste  - Actual Aggregated [MW]","Waste  - Actual Consumption [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Offshore  - Actual Consumption [MW]","Wind Onshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Consumption [MW]"
"Spain (ES)","01.01.2024 00:00 - 01.01.2024 00:15 (UTC)","244","","n/e","n/e","0","","0","","4268","","280","","20","","0","","0","","0","","912","468","996","","2000","","0","","7096","","0","","76","","28","","248","","0","","5632",""
"Spain (ES)","01.01.2024 00:15 - 01.01.2024 00:30 (UTC)","240","","n/e","n/e","0","","0","","4380","","276","","20","","0","","0","","0","","880","468","960","","2052","","0","","7096","","0","","76","","28","","248","","0","","5664",""
"Spain (ES)","01.01.2024 00:30 - 01.01.2024 00:45 (UTC)","228","","n/e","n/e","0","","0","","4404","","272","","20","","0","","0","","0","","824","468","948","","2044","","0","","7096","","0","","72","","28","","244","","0","","5672",""
"Spain (ES)","01.01.2024 00:45 - 01.01.2024 01:00 (UTC)","228","","n/e","n/e","0","","0","","4272","","272","","20","","0","","0","","0","","820","468","952","","1948","","0","","7096","","0","","72","","28","","248","","0","","5656",""
"Spain (ES)","01.01.2024 01:00 - 01.01.2024 01:15 (UTC)","228","","n/e","n/e","0","","0","","4104","","272","","20","","0","","0","","0","","780","512","948","","1824","","0","","7096","","0","","72","","28","","248","","0","","5608",""
"Spain (ES)","01.01.2024 01:15 - 01.01.2024 01:30 (UTC)","220","","n/e","n/e","0","","0","","4312","","272","","20","","0","","0","","0","","984","820","948","","1884","","0","","7096","","0","","72","","28","","248","","0","","5612",""
"Spain (ES)","01.01.2024 01:30 - 01.01.2024 01:45 (UTC)","220","","n/e","n/e","0","","0","","4456","","272","","20","","0","","0","","0","","1004","976","936","","1952","","0","","7096","","0","","72","","28","","244","","0","","5544",""
"Spain (ES)","01.01.2024 01:45 - 01.01.2024 02:00 (UTC)","216","","n/e","n/e","0","","0","","4432","","272","","20","","0","","0","","0","","1008","1168","928","","1924","","0","","7096","","0","","72","","28","","248","","0","","5448",""
"Spain (ES)","01.01.2024 02:00 - 01.01.2024 02:15 (UTC)","216","","n/e","n/e","0","","0","","4452","","272","","20","","0","","0","","0","","996","1296","928","","1852","","0","","7096","","0","","72","","28","","244","","0","","5240",""
"Spain (ES)","01.01.2024 02:15 - 01.01.2024 02:30 (UTC)","208","","n/e","n/e","0","","0","","4520","","272","","20","","0","","0","","0","","736","1360","928","","1728","","0","","7096","","0","","76","","28","","240","","0","","5200",""
"Spain (ES)","01.01.2024 02:30 - 01.01.2024 02:45 (UTC)","216","","n/e","n/e","0","","0","","4540","","272","","20","","0","","0","","0","","728","1456","924","","1612","","0","","7096","","0","","76","","28","","244","","0","","5240",""
"Spain (ES)","01.01.2024 02:45 - 01.01.2024 03:00 (UTC)","216","","n/e","n/e","0","","0","","4396","","272","","20","","0","","0","","0","","708","1536","904","","1552","","0","","7096","","0","","72","","28","","244","","0","","5240",""
"Spain (ES)","01.01.2024 03:00 - 01.01.2024 03:15 (UTC)","220","","n/e","n/e","0","","0","","4308","","272","","20","","0","","0","","0","","432","1548","888","","1440","","0","","7096","","0","","72","","28","","244","","0","","5212",""
"Spain (ES)","01.01.2024 03:15 - 01.01.2024 03:30 (UTC)","220","","n/e","n/e","0","","0","","4408","","272","","20","","0","","0","","0","","360","1720","904","","1524","","0","","7096","","0","","76","","28","","244","","0","","5260",""
"Spain (ES)","01.01.2024 03:30 - 01.01.2024 03:45 (UTC)","220","","n/e","n/e","0","","0","","4492","","272","","20","","0","","0","","0","","364","1944","908","","1604","","0","","7096","","0","","72","","28","","248","","0","","5256",""
"Spain (ES)","01.01.2024 03:45 - 01.01.2024 04:00 (UTC)","216","","n/e","n/e","0","","0","","4544","","272","","20","","0","","0","","0","","352","2032","912","","1592","","0","","7096","","0","","72","","28","","248","","0","","5204",""
"Spain (ES)","01.01.2024 04:00 - 01.01.2024 04:15 (UTC)","212","","n/e","n/e","0","","0","","4604","","272","","20","","0","","0","","0","","348","2032","900","","1412","","0","","7092","","0","","76","","28","","248","","0","","5132",""
"Spain (ES)","01.01.2024 04:15 - 01.01.2024 04:30 (UTC)","212","","n/e","n/e","0","","0","","4688","","272","","20","","0","","0","","0","","352","2032","876","","1360","","0","","7092","","0","","72","","28","","248","","0","","5164",""
"Spain (ES)","01.01.2024 04:30 - 01.01.2024 04:45 (UTC)","212","","n/e","n/e","0","","0","","4744","","272","","20","","0","","0","","0","","404","2032","872","","1312","","0","","7092","","0","","72","","28","","248","","0","","5192",""
"Spain (ES)","01.01.2024 04:45 - 01.01.2024 05:00 (UTC)","212","","n/e","n/e","0","","0","","4704","","272","","20","","0","","0","","0","","460","2028","872","","1288","","0","","7092","","0","","72","","28","","248","","0","","5196",""
"Spain (ES)","01.01.2024 05:00 - 01.01.2024 05:15 (UTC)","212","","n/e","n/e","0","","0","","4676","","272","","20","","0","","0","","0","","520","2032","868","","1272","","0","","7092","","0","","76","","28","","248","","0","","5232",""
"Spain (ES)","01.01.2024 05:15 - 01.01.2024 05:30 (UTC)","212","","n/e","n/e","0","","0","","4628","","272","","20","","0","","0","","0","","524","2000","868","","1272","","0","","7092","","0","","72","","28","","248","","0","","5220",""
"Spain (ES)","01.01.2024 05:30 - 01.01.2024 05:45 (UTC)","212","","n/e","n/e","0","","0","","4660","","272","","20","","0","","0","","0","","540","2000","860","","1292","","0","","7092","","0","","72","","28","","244","","0","","5204",""
"Spain (ES)","01.01.2024 05:45 - 01.01.2024 06:00 (UTC)","220","","n/e","n/e","0","","0","","4580","","272","","20","","0","","0","","0","","548","1996","844","","1376","","0","","7092","","0","","72","","28","","244","","0","","5244",""
"Spain (ES)","01.01.2024 06:00 - 01.01.2024 06:15 (UTC)","220","","n/e","n/e","0","","0","","4532","","272","","20","","0","","0","","0","","568","2000","840","","1588","","0","","7092","","0","","72","","28","","240","","0","","5324",""
"Spain (ES)","01.01.2024 06:15 - 01.01.2024 06:30 (UTC)","216","","n/e","n/e","0","","0","","4576","","272","","20","","0","","0","","0","","524","2000","856","","1712","","0","","7092","","0","","72","","28","","244","","0","","5296",""
