"Area","MTU","Biomass  - Actual Aggregated [MW]","Biomass  - Actual Consumption [MW]","Energy storage - Actual Aggregated [MW]","Energy storage - Actual Consumption [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Consumption [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Consumption [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Consumption [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Consumption [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil  - Actual Consumption [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Consumption [MW]","Fossil Peat  - Actual Aggregated [MW]","Fossil Peat  - Actual Consumption [MW]","Geothermal  - Actual Aggregated [MW]","Geothermal  - Actual Consumption [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Run-of-river and poundage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Consumption [MW]","Marine  - Actual Aggregated [MW]","Marine  - Actual Consumption [MW]","Nuclear  - Actual Aggregated [MW]","Nuclear  - Actual Consumption [MW]","Other  - Actual Aggregated [MW]","Other  - Actual Consumption [MW]","Other renewable  - Actual Aggregated [MW]","Other renewable  - Actual Consumption [MW]","Solar  - Actual Aggregated [MW]","Solar  - Actual Consumption [MW]","Waste  - Actual Aggregated [MW]","Waste  - Actual Consumption [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Offshore  - Actual Consumption [MW]","Wind Onshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Consumption [MW]"
"Portugal (PT)","01.01.2024 00:00 - 01.01.2024 01:00 (UTC)","364","","n/e","n/e","n/e","n/e","n/e","n/e","193","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1065","1","635","1","141","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","0","","n/e","n/e","3","","340",""
"Portugal (PT)","01.01.2024 01:00 - 01.01.2024 02:00 (UTC)","366","","n/e","n/e","n/e","n/e","n/e","n/e","190","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","484","77","501","2","143","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","0","","n/e","n/e","3","","411",""
"Portugal (PT)","01.01.2024 02:00 - 01.01.2024 03:00 (UTC)","365","","n/e","n/e","n/e","n/e","n/e","n/e","190","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","248","502","1097","1","142","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","0","","n/e","n/e","2","","485",""
"Portugal (PT)","01.01.2024 03:00 - 01.01.2024 04:00 (UTC)","365","","n/e","n/e","n/e","n/e","n/e","n/e","190","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","267","695","788","1","143","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","0","","n/e","n/e","3","","508",""
"Portugal (PT)","01.01.2024 04:00 - 01.01.2024 05:00 (UTC)","364","","n/e","n/e","n/e","n/e","n/e","n/e","190","9","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","257","887","824","1","143","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","0","","n/e","n/e","5","","533",""
"Portugal (PT)","01.01.2024 05:00 - 01.01.2024 06:00 (UTC)","364","","n/e","n/e","n/e","n/e","n/e","n/e","190","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","284","1031","835","1","143","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","0","","n/e","n/e","6","","555",""
"Portugal (PT)","01.01.2024 06:00 - 01.01.2024 07:00 (UTC)","362","","n/e","n/e","n/e","n/e","n/e","n/e","191","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","339","687","416","1","173","1","n/e","n/e","n/e","n/e","33","","n/e","n/e","0","","n/e","n/e","7","","441",""
"Portugal (PT)","01.01.2024 07:00 - 01.01.2024 08:00 (UTC)","364","","n/e","n/e","n/e","n/e","n/e","n/e","192","9","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","279","573","442","1","176","1","n/e","n/e","n/e","n/e","33","","n/e","n/e","1","","n/e","n/e","10","","331",""
"Portugal (PT)","01.01.2024 08:00 - 01.01.2024 09:00 (UTC)","363","","n/e","n/e","n/e","n/e","n/e","n/e","195","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","425","655","315","2","207","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","119","","n/e","n/e","10","","319",""
"Portugal (PT)","01.01.2024 09:00 - 01.01.2024 10:00 (UTC)","359","","n/e","n/e","n/e","n/e","n/e","n/e","199","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","731","362","2","211","1","n/e","n/e","n/e","n/e","31","","n/e","n/e","539","","n/e","n/e","13","","281",""
"Portugal (PT)","01.01.2024 10:00 - 01.01.2024 11:00 (UTC)","361","","n/e","n/e","n/e","n/e","n/e","n/e","197","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","226","850","348","2","177","1","n/e","n/e","n/e","n/e","33","","n/e","n/e","1016","","n/e","n/e","14","","293",""
"Portugal (PT)","01.01.2024 11:00 - 01.01.2024 12:00 (UTC)","363","","n/e","n/e","n/e","n/e","n/e","n/e","197","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","168","1977","357","2","198","0","n/e","n/e","n/e","n/e","32","","n/e","n/e","1247","","n/e","n/e","18","","392",""
"Portugal (PT)","01.01.2024 12:00 - 01.01.2024 13:00 (UTC)","363","","n/e","n/e","n/e","n/e","n/e","n/e","196","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","1706","385","1","148","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","1272","","n/e","n/e","13","","514",""
"Portugal (PT)","01.01.2024 13:00 - 01.01.2024 14:00 (UTC)","365","","n/e","n/e","n/e","n/e","n/e","n/e","196","7","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","20","1851","377","1","168","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","1172","","n/e","n/e","11","","609",""
"Portugal (PT)","01.01.2024 14:00 - 01.01.2024 15:00 (UTC)","367","","n/e","n/e","n/e","n/e","n/e","n/e","196","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","1358","435","1","143","1","n/e","n/e","n/e","n/e","33","","n/e","n/e","897","","n/e","n/e","16","","639",""
"Portugal (PT)","01.01.2024 15:00 - 01.01.2024 16:00 (UTC)","363","","n/e","n/e","n/e","n/e","n/e","n/e","194","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","731","460","2","142","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","582","","n/e","n/e","18","","697",""
"Portugal (PT)","01.01.2024 16:00 - 01.01.2024 17:00 (UTC)","364","","n/e","n/e","n/e","n/e","n/e","n/e","194","7","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","330","636","532","1","144","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","155","","n/e","n/e","20","","694",""
"Portugal (PT)","01.01.2024 17:00 - 01.01.2024 18:00 (UTC)","364","","n/e","n/e","n/e","n/e","n/e","n/e","195","7","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1570","222","640","1","286","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","4","","n/e","n/e","24","","748",""
"Portugal (PT)","01.01.2024 18:00 - 01.01.2024 19:00 (UTC)","362","","n/e","n/e","n/e","n/e","n/e","n/e","196","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1758","4","844","1","436","1","n/e","n/e","n/e","n/e","33","","n/e","n/e","0","","n/e","n/e","23","","1013",""
"Portugal (PT)","01.01.2024 19:00 - 01.01.2024 20:00 (UTC)","353","","n/e","n/e","n/e","n/e","n/e","n/e","195","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2034","0","877","1","316","1","n/e","n/e","n/e","n/e","33","","n/e","n/e","0","","n/e","n/e","25","","1567",""
"Portugal (PT)","01.01.2024 20:00 - 01.01.2024 21:00 (UTC)","352","","n/e","n/e","n/e","n/e","n/e","n/e","196","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1640","1","810","1","315","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","0","","n/e","n/e","25","","2017",""
"Portugal (PT)","01.01.2024 21:00 - 01.01.2024 22:00 (UTC)","355","","n/e","n/e","n/e","n/e","n/e","n/e","195","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1426","1","794","1","197","1","n/e","n/e","n/e","n/e","33","","n/e","n/e","0","","n/e","n/e","24","","1702",""
"Portugal (PT)","01.01.2024 22:00 - 01.01.2024 23:00 (UTC)","351","","n/e","n/e","n/e","n/e","n/e","n/e","194","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","341","348","483","2","123","1","n/e","n/e","n/e","n/e","33","","n/e","n/e","0","","n/e","n/e","24","","2028",""
"Portugal (PT)","01.01.2024 23:00 - 02.01.2024 00:00 (UTC)","350","","n/e","n/e","n/e","n/e","n/e","n/e","194","8","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","214","970","475","1","139","1","n/e","n/e","n/e","n/e","32","","n/e","n/e","0","","n/e","n/e","25","","2446",""
