"Time (UTC)","BZN|ES > BZN|PT [MW]","BZN|PT > BZN|ES [MW]"
"01.01.2024 00:00 - 01.01.2024 01:00","2290","0"
"01.01.2024 01:00 - 01.01.2024 02:00","2821","0"
"01.01.2024 02:00 - 01.01.2024 03:00","2721","0"
"01.01.2024 03:00 - 01.01.2024 04:00","2788","0"
"01.01.2024 04:00 - 01.01.2024 05:00","2819","0"
"01.01.2024 05:00 - 01.01.2024 06:00","2818","0"
"01.01.2024 06:00 - 01.01.2024 07:00","2893","0"
"01.01.2024 07:00 - 01.01.2024 08:00","2909","0"
"01.01.2024 08:00 - 01.01.2024 09:00","2838","0"
"01.01.2024 09:00 - 01.01.2024 10:00","2890","0"
"01.01.2024 10:00 - 01.01.2024 11:00","2892","0"
"01.01.2024 11:00 - 01.01.2024 12:00","3845","0"
"01.01.2024 12:00 - 01.01.2024 13:00","4128","0"
"01.01.2024 13:00 - 01.01.2024 14:00","4063","0"
"01.01.2024 14:00 - 01.01.2024 15:00","3777","0"
"01.01.2024 15:00 - 01.01.2024 16:00","3385","0"
"01.01.2024 16:00 - 01.01.2024 17:00","3499","0"
"01.01.2024 17:00 - 01.01.2024 18:00","2535","0"
"01.01.2024 18:00 - 01.01.2024 19:00","1961","0"
"01.01.2024 19:00 - 01.01.2024 20:00","1408","0"
"01.01.2024 20:00 - 01.01.2024 21:00","1274","0"
"01.01.2024 21:00 - 01.01.2024 22:00","1607","0"
"01.01.2024 22:00 - 01.01.2024 23:00","2495","0"
"01.01.2024 23:00 - 02.01.2024 00:00","2579","0"
